Date,Start,End,BreakMinutes,NetMinutes,Note
2026-02-12,,,0,1020,"Saldo inicial acordado: 17h (preparación/estudio/diseño + horas no registradas)"
"2026-02-13","2026-02-13 02:22","2026-02-13 03:22","0","60","Auto-cierre por inactividad (+60m). Nota original: Probando en navegador (cliente 35)"
"2026-02-16","","","0","30","Bugfix + pruebas"
"2026-02-20","2026-02-20 06:40","2026-02-20 07:47","0","68","Dev Pare Carrito"
"2026-02-20","2026-02-20 07:50","2026-02-20 10:01","0","130","Dev Pare Carrito"
"2026-02-21","2026-02-21 07:02","2026-02-21 07:49","0","47","Dev Pare Carrito"
"2026-02-24","2026-02-24 22:29","2026-02-24 23:14","0","45","Auto-cierre por inactividad (+45m). Sesion deploy VPS Pare Carrito (Copilot)"
"2026-02-26","","","0","360","Trabajo manual (6h)"
"2026-02-26","","","0","150","Trabajo manual (2,5h)"
"2026-02-26","","","0","180","Trabajo manual (3h)"
"2026-03-05","2026-03-05 13:14","2026-03-05 13:57","0","43","Sesion activa desde retorno"
"2026-03-05","2026-03-05 23:00","2026-03-06 01:30","0","150","Bloque nocturno confirmado por usuario"
"2026-03-06","2026-03-06 06:18","2026-03-06 08:03","0","105","Cierre automatico de sesion activa con ajuste por inactividad Inicio limpio desde 06:00 confirmado"
"2026-03-06","2026-03-06 20:58","2026-03-06 22:02","0","64","Cierre automatico de sesion activa con ajuste por inactividad Inicio limpio desde 06:00 confirmado"
"2026-03-06","2026-03-06 22:22","2026-03-06 23:10","0","48","Cierre automatico de sesion activa con ajuste por inactividad Inicio limpio desde 06:00 confirmado"
"2026-03-07","2026-03-07 18:44","2026-03-07 19:33","0","49","Cierre automatico de sesion activa con ajuste por inactividad Inicio limpio desde 06:00 confirmado"
"2026-03-08","2026-03-08 21:58","2026-03-08 23:13","0","75","Cierre automatico de sesion activa con ajuste por inactividad Inicio limpio desde 06:00 confirmado"
"2026-03-09","2026-03-09 21:29","2026-03-09 22:20","0","51","Cierre automatico de sesion activa con ajuste por inactividad Inicio limpio desde 06:00 confirmado"
"2026-03-09","2026-03-09 21:33","2026-03-10 10:04","0","750","Sesion activa continua (cierre manual o inactividad 45m) - inicio corregido"
